Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/24 8:13:08 PM GMT+5:30,I Agree,67912aa1f10b515cc2d582ed57e197cf,Other,18,High School graduate,Slovakia,Enthusiastic,No,,4,classical,classical,Often,Rarely,Always,Always,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Always,Sometimes,Rarely,Always,Most of the time,Most of the time,Some of the time,All of the time,Most of the time,None of the time,Most of the time,All of the time,Most of the time,All of the time,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Not that much honestly. Its just the albums i used to listen to changed. But the genres and reasons why i listen to them more or less stay the same.,I feel more or less the same.,25,17,39,3.75,3.25,1,3,4.25
2019/03/24 8:19:17 PM GMT+5:30,I Agree,a1b608ed51f483aab0ff7f190e1b6f8a,Male,16,High School graduate,United Kingdom,Enthusiastic,No,,6,Hip-Hop,classical,Always,Rarely,Rarely,Often,Never,Sometimes,Sometimes,Never,Never,Often,Sometimes,Rarely,Rarely,Sometimes,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,All of the time,All of the time,Most of the time,Most of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,I listen to much more music now,I feel worse now,14,17,41,3.5,3,2,4,3.25
2019/03/24 8:47:49 PM GMT+5:30,I Agree,cf4a8df3f7a49342be0de2369d7c663b,Male,22,Bachelor's degree,Canada,Enthusiastic,Yes,"Clarinet, 2 years",4,Mixed,rock,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,"Over the past year, I've started to listen to heavier metal, like black metal and death metal.",I feel better now,9,14,17,4,4.5,1,3,2.75
2019/03/24 8:48:13 PM GMT+5:30,I Agree,9d0993ecfcfccbb2634305b89e11deb8,Male,31,Master's degree,,Enthusiastic,No,,3,Rock,pop,Often,Never,Never,Often,Never,Always,Often,Never,Never,Rarely,Never,Never,Never,Often,None of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Not much,I feel more or less the same.,8,19,17,4.5,3.5,3.5,4.5,1.75
2019/03/24 8:49:14 PM GMT+5:30,I Agree,4d3fc64c186d4136a8d87ff5f67e3526,Male,16,High School graduate,Ireland,Enthusiastic,Yes,Guitar (4 years),6,jazz,classical,Always,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Some of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I listen less,I feel better now,29,18,37,4.5,2.5,3.5,3.75,5
2019/03/24 8:49:19 PM GMT+5:30,I Agree,700a688975693540b7b1e48736c1e053,Male,27,Bachelor's degree,Canada,Enthusiastic,Yes,"Piano, 7 years",8,Rock,Pop,Always,Sometimes,Never,Often,Rarely,Often,Often,Rarely,Rarely,Often,Rarely,Sometimes,Never,Often,Most of the time,Some of the time,Some of the time,A little of the time,Most of the time,A little of the time,Most of the time,Most of the time,Some of the time,Most of the time,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,It's been fairly consistent.,I feel better now,16,20,33,4.75,2.25,3.5,4.25,3.75
2019/03/24 9:03:08 PM GMT+5:30,I Agree,c9b78ff22dd29606207daab0a0f7c2a0,Male,34,Bachelor's degree,United Kingdom,Enthusiastic,No,,4,Mixed,jazz,Always,Rarely,Never,Always,Never,Always,Always,Rarely,Never,Always,Never,Never,Never,Often,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,A little of the time,Most of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,"In my office job I've moved roles which results in me being disturbed more, so I don't get to listen to music with headphones more often than I'd like to",I feel more or less the same.,10,24,25,4.75,3.5,3,4.5,3
2019/03/24 9:06:45 PM GMT+5:30,I Agree,2fe1a2176412d3a3307a28047d16dfbc,Male,33,Bachelor's degree,Canada,Enthusiastic,No,,2,pop,classical,Rarely,Never,Sometimes,Always,Never,Often,Always,Never,Never,Sometimes,Sometimes,Never,Rarely,Often,A little of the time,Some of the time,None of the time,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,None of the time,Some of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,It has not,I feel better now,13,21,23,4.5,2.5,1.5,3.75,3
2019/03/24 9:17:57 PM GMT+5:30,I Agree,b0637349ccc6fc672bb1d6916c112532,Male,32,Bachelor's degree,Brazil,Enthusiastic,Yes,"Guitar, 2 years",2,rock,rock,Never,Rarely,Rarely,Sometimes,Never,Often,Often,Rarely,Never,Sometimes,Rarely,Rarely,Never,Sometimes,None of the time,A little of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Not so much,I feel more or less the same.,13,17,13,4.25,4,3.5,4,2
2019/03/24 9:23:04 PM GMT+5:30,I Agree,476e9d34ba0e94e49809955430225d67,Male,34,High School graduate,United States,Enthusiastic,No,,6,Hip hop,jazz,Often,Sometimes,Rarely,Often,Sometimes,Often,Often,Always,Rarely,Often,Rarely,Always,Rarely,Often,Some of the time,Most of the time,A little of the time,Some of the time,Some of the time,A little of the time,Most of the time,Some of the time,Some of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Listening to things in other languages than English even though I don't understand the words,I feel worse now,24,20,30,5,1.75,2.5,4,3.75
2019/03/24 9:23:19 PM GMT+5:30,I Agree,e81cc3349b02197a403e412ad57157cc,Male,27,Bachelor's degree,Finland,Enthusiastic,No,,5,Mixed,jazz,Often,Sometimes,Never,Often,Sometimes,Often,Often,Often,Never,Often,Never,Sometimes,Never,Often,Most of the time,Most of the time,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Hasn't. I try to listen to music as much as possible, to break up my thought patterns, to fall asleep, to make work more enjoyable, enhance social situations.",I feel better now,17,20,36,4.5,4,3.75,5,4
2019/03/24 9:33:31 PM GMT+5:30,I Agree,7324f006218a20c9747ea00d501d3743,Male,17,High School graduate,United States,Enthusiastic,Yes,bassoon for 6 years and bass clarinet for 3,6,Mixed,rock,Always,Rarely,Rarely,Always,Never,Always,Often,Rarely,Never,Often,Rarely,Often,Never,Always,Some of the time,Most of the time,A little of the time,None of the time,Some of the time,A little of the time,Most of the time,Some of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,i listen to music more than last year because i rely on it more.,I feel better now,15,23,26,5,2.25,3.5,4,4.25
2019/03/24 9:38:48 PM GMT+5:30,I Agree,080718a2684221573b174563e37c8f42,Male,23,High School graduate,United States,Enthusiastic,No,,6,Mixed,rock,Often,Sometimes,Sometimes,Often,Rarely,Often,Often,Sometimes,Rarely,Often,Never,Sometimes,Never,Often,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,"My music listening had been relatively consistent since 2012. Sometimes it looks like I'm not listening as much because I can't find any apps that scrobble Pandora songs so...that can make things look different, I guess.",I feel better now,18,20,15,4.75,3.75,1.25,3.5,1.5
2019/03/24 10:22:00 PM GMT+5:30,I Agree,8722cd7ea33e20ce5c6ab896d0805d19,Male,29,Professional degree,,Enthusiastic,Yes,4,4,Pop,rock,Often,Rarely,Never,Often,Never,Always,Often,Sometimes,Never,Often,Rarely,Sometimes,Never,Always,Most of the time,Some of the time,A little of the time,Most of the time,Most of the time,None of the time,Most of the time,Most of the time,Some of the time,Some of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,It hasn't.,I feel worse now,14,22,32,3.25,2.5,2.5,4.5,3.25
2019/03/24 10:37:37 PM GMT+5:30,I Agree,ee43974e0bbb68d8ba43965c5e9d4f89,Male,21,High School graduate,United States,Enthusiastic,No,,2,classical,jazz,Often,Rarely,Sometimes,Often,Sometimes,Often,Sometimes,Often,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,Some of the time,Some of the time,A little of the time,None of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,I've listened to more music per day on average recently,I feel more or less the same.,20,17,19,4.75,2.5,2.25,3.5,4.5
2019/03/24 10:38:00 PM GMT+5:30,I Agree,87eabc6116821fbb2c00013962039a07,Male,40,Bachelor's degree,Ireland,Enthusiastic,No,,2,rock,classical,Sometimes,Rarely,Sometimes,Often,Never,Often,Often,Rarely,Never,Sometimes,Never,Never,Never,Always,None of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,It hasn’t ,I feel more or less the same.,12,20,12,4,2.75,3,3.5,2.75
2019/03/24 10:51:38 PM GMT+5:30,I Agree,e72b6ac388bd691f7d0476537115cf0d,Male,28,High School graduate,United Kingdom,Moderate,No,,2.5,rock,hip hop,Often,Sometimes,Sometimes,Often,Rarely,Often,Always,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Often,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,Some of the time,Most of the time,Some of the time,A little of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,"Still more or less the same, have bursts of wanting to discover new songs but still tend to listen to the library I already have.",I feel more or less the same.,18,20,24,2,4.25,1.25,3.5,3
2019/03/24 11:14:50 PM GMT+5:30,I Agree,f28cab452941240f5d8ea1de0269969b,Male,33,High School graduate,Czech Republic,Moderate,No,,2,pop,classical,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,#NAME?,I feel more or less the same.,11,15,17,3.75,2.75,1.25,4,2.5
2019/03/24 11:36:28 PM GMT+5:30,I Agree,bdea1ab5d6955b16d00acd9bae7358a3,Male,25,High School graduate,New Zealand,Enthusiastic,Yes,"Guitar, Bass, Drums and Piano since about the age of ten. ",5,rock,rock,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,Some of the time,A little of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,"It hasn't really, I go through phases where I listen to several artists/bands over and over again most of the time.",I feel better now,21,16,25,3.25,2.5,2.5,3.75,4.25
2019/03/24 11:45:08 PM GMT+5:30,I Agree,1036f795adf7f5d1c4da1b33f7413cec,Male,25,Bachelor's degree,Sweden,Enthusiastic,No,,2,classical,classical,Often,Rarely,Rarely,Sometimes,Never,Often,Sometimes,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Some of the time,Some of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Don’t know,I feel better now,11,16,16,4,5,2.5,4,4.5
2019/03/24 11:48:26 PM GMT+5:30,I Agree,18f2dfc14d29414c9a133222c071d10d,Male,20,High School graduate,United States,Enthusiastic,No,,1,jazz,jazz,Rarely,Never,Never,Often,Rarely,Always,Often,Never,Never,Always,Never,Rarely,Never,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,No,I feel better now,10,22,15,4.5,4.25,1.5,4,1.5
